SKV_365_P,19-Aug-2022 13:57:53,1.56
SKV_365_T,19-Aug-2022 13:57:53,15.32
SKV_365_Comment,19-Aug-2022 13:57:53,
SKV_364_P,19-Aug-2022 13:57:53,1.07
SKV_364_T,19-Aug-2022 13:57:53,15.74
SKV_364_Comment,19-Aug-2022 13:57:53,
SKV_363_P,19-Aug-2022 13:57:53,1.07
SKV_363_T,19-Aug-2022 13:57:53,14.76
SKV_363_Comment,19-Aug-2022 13:57:53,Ограничение по выносу мехпрмесей линза Д 38мм
SKV_362_P,19-Aug-2022 13:57:53,3.61,-248
SKV_362_T,19-Aug-2022 13:57:53,9.99,-248
SKV_362_Comment,19-Aug-2022 13:57:53,КРС-3
SKV_361_P,19-Aug-2022 13:57:53,1.06
SKV_361_T,19-Aug-2022 13:57:53,13.7
SKV_361_Comment,19-Aug-2022 13:57:53,МКП
SKV_3114_P,19-Aug-2022 13:57:53,1.08
SKV_3114_T,19-Aug-2022 13:57:53,15.34
SKV_3114_Comment,19-Aug-2022 13:57:53, 
SKV_3113_P,19-Aug-2022 13:57:53,1.08
SKV_3113_T,19-Aug-2022 13:57:53,14.83
SKV_3113_Comment,19-Aug-2022 13:57:53,
SKV_3112_P,19-Aug-2022 13:57:53,1.08
SKV_3112_T,19-Aug-2022 13:57:53,14.38
SKV_3112_Comment,19-Aug-2022 13:57:53,ЦЛК скв 371 
SKV_3111_P,19-Aug-2022 13:57:53,1.09
SKV_3111_T,19-Aug-2022 13:57:53,15.74
SKV_3111_Comment,19-Aug-2022 13:57:53,
SKV_375_P,19-Aug-2022 13:57:53,0
SKV_375_T,19-Aug-2022 13:57:53,22.13
SKV_375_Comment,19-Aug-2022 13:57:53,
SKV_373_P,19-Aug-2022 13:57:53,1.08
SKV_373_T,19-Aug-2022 13:57:53,12.6
SKV_373_Comment,19-Aug-2022 13:57:53,
SKV_372_P,19-Aug-2022 13:57:53,1.06
SKV_372_T,19-Aug-2022 13:57:53,15.51
SKV_372_Comment,19-Aug-2022 13:57:53,
SKV_371_P,19-Aug-2022 13:57:53,256.12,-248
SKV_371_T,19-Aug-2022 13:57:53,169.85,-248
SKV_371_Comment,19-Aug-2022 13:57:53, Смотреть датчик скв 3112
SKV_370_P,19-Aug-2022 13:57:53,0
SKV_370_T,19-Aug-2022 13:57:53,16.21
SKV_370_Comment,19-Aug-2022 13:57:53,
SKV_384_P,19-Aug-2022 13:57:53,1.12,-248
SKV_384_T,19-Aug-2022 13:57:53,12.93,-248
SKV_384_Comment,19-Aug-2022 13:57:53,Ожидание ликвидации
SKV_383_P,19-Aug-2022 13:57:53,1.13,-248
SKV_383_T,19-Aug-2022 13:57:53,10.8,-248
SKV_383_Comment,19-Aug-2022 13:57:53,Поверка
SKV_382_P,19-Aug-2022 13:57:53,133.64,-248
SKV_382_T,19-Aug-2022 13:57:53,179.67,-248
SKV_382_Comment,19-Aug-2022 13:57:53,Ликвидированая
SKV_381_P,19-Aug-2022 13:57:53,230.27,-248
SKV_381_T,19-Aug-2022 13:57:53,19.6,-248
SKV_381_Comment,19-Aug-2022 13:57:53,Скважина принята из КРС по протоколу (в ожидании решения  датчик демонтирован)
SKV_3163_P,19-Aug-2022 13:57:53,1.13,-248
SKV_3163_T,19-Aug-2022 13:57:53,14.06,-248
SKV_3163_Comment,19-Aug-2022 13:57:53,Консервация
SKV_3162_P,19-Aug-2022 13:57:53,1.04,-248
SKV_3162_T,19-Aug-2022 13:57:53,2.4,-248
SKV_3162_Comment,19-Aug-2022 13:57:53,Консервация
SKV_3161_P,19-Aug-2022 13:57:53,0,-248
SKV_3161_T,19-Aug-2022 13:57:53,19.52,-248
SKV_3161_Comment,19-Aug-2022 13:57:53,Консервация
SKV_394_P,19-Aug-2022 13:57:53,0
SKV_394_T,19-Aug-2022 13:57:53,21.11
SKV_394_Comment,19-Aug-2022 13:57:53,
SKV_393_P,19-Aug-2022 13:57:53,1.12
SKV_393_T,19-Aug-2022 13:57:53,13.75
SKV_393_Comment,19-Aug-2022 13:57:53,цлк 
SKV_392_P,19-Aug-2022 13:57:53,1.14
SKV_392_T,19-Aug-2022 13:57:53,9.81
SKV_392_Comment,19-Aug-2022 13:57:53,
SKV_391_P,19-Aug-2022 13:57:53,1.12
SKV_391_T,19-Aug-2022 13:57:53,12.56
SKV_391_Comment,19-Aug-2022 13:57:53,ЦЛК 
SKV_3153_P,19-Aug-2022 13:57:53,1.29
SKV_3153_T,19-Aug-2022 13:57:53,11.37
SKV_3153_Comment,19-Aug-2022 13:57:53,
SKV_3152_P,19-Aug-2022 13:57:53,0
SKV_3152_T,19-Aug-2022 13:57:53,19.72
SKV_3152_Comment,19-Aug-2022 13:57:53,
SKV_3151_P,19-Aug-2022 13:57:53,0
SKV_3151_T,19-Aug-2022 13:57:53,20.4
SKV_3151_Comment,19-Aug-2022 13:57:53,
SKV_3101_P,19-Aug-2022 13:57:53,1.15
SKV_3101_T,19-Aug-2022 13:57:53,15.39
SKV_3101_Comment,19-Aug-2022 13:57:53,ЦЛК 
SKV_3102_P,19-Aug-2022 13:57:53,1.13
SKV_3102_T,19-Aug-2022 13:57:53,14.98
SKV_3102_Comment,19-Aug-2022 13:57:53,Ограничение по выносу мехпрмесей линза Д 35мм 
SKV_3103_P,19-Aug-2022 13:57:53,1.08
SKV_3103_T,19-Aug-2022 13:57:53,8.26
SKV_3103_Comment,19-Aug-2022 13:57:53,
SKV_311_P,19-Aug-2022 13:57:53,1.07
SKV_311_T,19-Aug-2022 13:57:53,12.95
SKV_311_Comment,19-Aug-2022 13:57:53,ЦЛК 
SKV_312_P,19-Aug-2022 13:57:53,1.08,-248
SKV_312_T,19-Aug-2022 13:57:53,8.05,-248
SKV_312_Comment,19-Aug-2022 13:57:53,Ограничение по выносу мехпрмесей линза Д 41мм 
SKV_313_P,19-Aug-2022 13:57:53,1.08,-248
SKV_313_T,19-Aug-2022 13:57:53,12.03,-248
SKV_313_Comment,19-Aug-2022 13:57:53,ЦЛК 
SKV_314_P,19-Aug-2022 13:57:53,1.07
SKV_314_T,19-Aug-2022 13:57:53,15.58
SKV_314_Comment,19-Aug-2022 13:57:53,
SKV_321_P,19-Aug-2022 13:57:53,0,-248
SKV_321_T,19-Aug-2022 13:57:53,23.11,-248
SKV_321_Comment,19-Aug-2022 13:57:53,ЦЛК
SKV_322_P,19-Aug-2022 13:57:53,1.07
SKV_322_T,19-Aug-2022 13:57:53,15.3
SKV_322_Comment,19-Aug-2022 13:57:53,Ограничение по выносу мехпрмесей линза Д 68мм
SKV_323_P,19-Aug-2022 13:57:53,42.02,-248
SKV_323_T,19-Aug-2022 13:57:53,10.44,-248
SKV_323_Comment,19-Aug-2022 13:57:53,
SKV_324_P,19-Aug-2022 13:57:53,1.06
SKV_324_T,19-Aug-2022 13:57:53,16.04
SKV_324_Comment,19-Aug-2022 13:57:53,
SKV_325_P,19-Aug-2022 13:57:53,1.06,-248
SKV_325_T,19-Aug-2022 13:57:53,7.04,-248
SKV_325_Comment,19-Aug-2022 13:57:53,в поверке
SKV_3124_P,19-Aug-2022 13:57:53,1.14
SKV_3124_T,19-Aug-2022 13:57:53,14.74
SKV_3124_Comment,19-Aug-2022 13:57:53,
SKV_3123_P,19-Aug-2022 13:57:53,1.11
SKV_3123_T,19-Aug-2022 13:57:53,15.09
SKV_3123_Comment,19-Aug-2022 13:57:53,
SKV_3121_P,19-Aug-2022 13:57:53,1.13
SKV_3121_T,19-Aug-2022 13:57:53,14.14
SKV_3121_Comment,19-Aug-2022 13:57:53,
SKV_3122_P,19-Aug-2022 13:57:53,1.15
SKV_3122_T,19-Aug-2022 13:57:53,15.2
SKV_3122_Comment,19-Aug-2022 13:57:53,
SKV_354_P,19-Aug-2022 13:57:53,11.08
SKV_354_T,19-Aug-2022 13:57:53,15.85
SKV_354_Comment,19-Aug-2022 13:57:53,
SKV_353_P,19-Aug-2022 13:57:53,1.12,-248
SKV_353_T,19-Aug-2022 13:57:53,13.23,-248
SKV_353_Comment,19-Aug-2022 13:57:53,Ожидание КРС
SKV_352_P,19-Aug-2022 13:57:53,1.08
SKV_352_T,19-Aug-2022 13:57:53,14.46
SKV_352_Comment,19-Aug-2022 13:57:53,цлк 
SKV_351_P,19-Aug-2022 13:57:53,1.08
SKV_351_T,19-Aug-2022 13:57:53,15.26
SKV_351_Comment,19-Aug-2022 13:57:53,
SKV_3133_P,19-Aug-2022 13:57:53,1.17
SKV_3133_T,19-Aug-2022 13:57:53,14.53
SKV_3133_Comment,19-Aug-2022 13:57:53,
SKV_3132_P,19-Aug-2022 13:57:53,0
SKV_3132_T,19-Aug-2022 13:57:53,19.54
SKV_3132_Comment,19-Aug-2022 13:57:53,
SKV_3131_P,19-Aug-2022 13:57:53,0
SKV_3131_T,19-Aug-2022 13:57:53,22.68
SKV_3131_Comment,19-Aug-2022 13:57:53,
SKV_335_P,19-Aug-2022 13:57:53,1.04
SKV_335_T,19-Aug-2022 13:57:53,14.66
SKV_335_Comment,19-Aug-2022 13:57:53,
SKV_334_P,19-Aug-2022 13:57:53,0.05
SKV_334_T,19-Aug-2022 13:57:53,13.73
SKV_334_Comment,19-Aug-2022 13:57:53,ЦЛК
SKV_333_P,19-Aug-2022 13:57:53,1.06
SKV_333_T,19-Aug-2022 13:57:53,14.63
SKV_333_Comment,19-Aug-2022 13:57:53,
SKV_332_P,19-Aug-2022 13:57:53,1.05
SKV_332_T,19-Aug-2022 13:57:53,15.35
SKV_332_Comment,19-Aug-2022 13:57:53,1
SKV_331_P,19-Aug-2022 13:57:53,0.08
SKV_331_T,19-Aug-2022 13:57:53,14.61
SKV_331_Comment,19-Aug-2022 13:57:53,
SKV_3143_P,19-Aug-2022 13:57:53,4.98,-248
SKV_3143_T,19-Aug-2022 13:57:53,40.79,-248
SKV_3143_Comment,19-Aug-2022 13:57:53,ЦЛК
SKV_3142_P,19-Aug-2022 13:57:53,2.26,-248
SKV_3142_T,19-Aug-2022 13:57:53,8.84,-248
SKV_3142_Comment,19-Aug-2022 13:57:53,КРС-18
SKV_3141_P,19-Aug-2022 13:57:53,0.02
SKV_3141_T,19-Aug-2022 13:57:53,14.7
SKV_3141_Comment,19-Aug-2022 13:57:53,
SKV_345_P,19-Aug-2022 13:57:53,0
SKV_345_T,19-Aug-2022 13:57:53,15.05
SKV_345_Comment,19-Aug-2022 13:57:53,
SKV_344_P,19-Aug-2022 13:57:53,1.06
SKV_344_T,19-Aug-2022 13:57:53,15.06
SKV_344_Comment,19-Aug-2022 13:57:53,
